epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,600.672,1.45762,1.23552,2.58772,0.95799,0.89642,0.98014,0.62895,2.36286,1.07337,3.79582,0.00120491,0.00120491,0.00120491
30,623.62,1.4631,1.24174,2.56955,0.82183,0.95227,0.94451,0.57971,2.47151,1.24376,3.91274,0.0011884,0.0011884,0.0011884
31,646.323,1.44263,1.20443,2.58453,0.944,0.95846,0.97708,0.6599,2.47748,1.16871,4.13051,0.0011719,0.0011719,0.0011719
32,668.869,1.52384,1.21964,2.62233,0.93271,0.9262,0.95034,0.63326,2.35244,1.49717,3.96585,0.0011554,0.0011554,0.0011554
33,691.107,1.40621,1.24993,2.55265,0.96489,0.94131,0.98635,0.67954,2.02246,1.04419,3.35212,0.00113889,0.00113889,0.00113889
34,713.725,1.39536,1.16609,2.55185,0.86758,0.94277,0.97061,0.66515,2.12744,0.91342,3.47302,0.00112239,0.00112239,0.00112239
35,736.131,1.39154,1.16618,2.53367,0.92893,0.9145,0.96093,0.56381,2.68702,1.33661,4.32095,0.00110589,0.00110589,0.00110589
36,758.707,1.37824,1.11125,2.51685,0.90094,0.90417,0.95628,0.59274,2.30215,1.22072,3.70468,0.00108938,0.00108938,0.00108938
37,780.981,1.31759,1.08349,2.48984,0.9331,0.83805,0.93667,0.63764,2.28385,1.27275,3.73288,0.00107288,0.00107288,0.00107288
38,802.217,1.33222,1.06888,2.48142,0.96185,0.9831,0.99094,0.6573,2.06776,0.91358,3.52193,0.00105638,0.00105638,0.00105638
39,823.703,1.37063,1.09395,2.52969,0.78491,0.90417,0.87277,0.54695,2.48392,1.3217,3.72313,0.00103987,0.00103987,0.00103987
40,844.823,1.35485,1.03957,2.50913,0.94263,0.80589,0.90302,0.60189,2.3903,1.45365,3.76254,0.00102337,0.00102337,0.00102337
41,865.93,1.35649,1.04505,2.47599,0.9641,0.7125,0.90667,0.56904,2.44055,1.38077,3.97035,0.00100687,0.00100687,0.00100687
42,886.992,1.31281,1.01399,2.47462,0.98204,0.9627,0.97065,0.60981,2.37071,1.32301,3.67284,0.000990365,0.000990365,0.000990365
43,907.802,1.31601,1.04055,2.46524,0.94106,0.86599,0.94447,0.67218,2.2059,1.08919,3.59566,0.000973861,0.000973861,0.000973861
44,928.579,1.3119,1.01501,2.4684,0.90173,0.9231,0.96156,0.61518,2.30172,1.0678,3.62882,0.000957358,0.000957358,0.000957358
45,949.567,1.28903,0.99778,2.46749,0.9682,0.98775,0.99313,0.62418,2.44277,0.9335,3.92863,0.000940855,0.000940855,0.000940855
46,970.274,1.31614,1.03152,2.46576,0.94267,0.96667,0.99,0.67688,2.2675,0.83684,3.61023,0.000924352,0.000924352,0.000924352
47,991.367,1.24663,0.985,2.43037,0.9757,0.96667,0.99313,0.66282,2.01435,0.73374,3.38363,0.000907848,0.000907848,0.000907848
48,1013.36,1.22926,0.9728,2.40102,0.98394,0.8756,0.93524,0.66013,2.19367,1.06709,3.58551,0.000891345,0.000891345,0.000891345
49,1033.58,1.24427,0.97344,2.42179,0.98786,0.86653,0.96958,0.63554,2.30453,0.96898,3.78648,0.000874842,0.000874842,0.000874842
50,1053.37,1.27256,0.97356,2.41855,0.95664,0.86283,0.97231,0.67377,2.07729,0.9109,3.59611,0.000858338,0.000858338,0.000858338
51,1072.91,1.25111,0.92577,2.41741,0.96583,0.93805,0.9841,0.67856,2.19985,0.95987,3.7709,0.000841835,0.000841835,0.000841835
52,1092.48,1.21725,0.90628,2.41189,1,0.95569,0.97038,0.66031,2.16665,1.31046,3.61386,0.000825332,0.000825332,0.000825332
53,1111.97,1.23682,0.9275,2.40701,0.96748,0.97311,0.99313,0.70006,1.99054,0.84248,3.34839,0.000808828,0.000808828,0.000808828
54,1131.52,1.22287,0.90751,2.40549,0.96221,0.94492,0.98868,0.62122,2.47906,1.12636,3.92312,0.000792325,0.000792325,0.000792325
55,1150.95,1.22085,0.89275,2.39105,0.94717,0.96129,0.99147,0.66416,2.13724,0.8641,3.49434,0.000775822,0.000775822,0.000775822
56,1170.63,1.16973,0.92092,2.36218,0.94502,0.961,0.99094,0.6876,1.89003,0.91481,3.31436,0.000759318,0.000759318,0.000759318
57,1190.06,1.18324,0.8669,2.37096,0.98173,0.96667,0.98868,0.66287,2.27227,0.85111,3.68908,0.000742815,0.000742815,0.000742815
58,1209.71,1.1536,0.86199,2.349,0.98244,0.99599,0.995,0.67022,2.30385,0.7922,3.89423,0.000726312,0.000726312,0.000726312
59,1229.21,1.19084,0.88912,2.37331,0.99868,0.98606,0.995,0.63251,2.35383,0.9969,3.8058,0.000709809,0.000709809,0.000709809
60,1248.7,1.15905,0.86814,2.33518,0.94572,0.87083,0.93701,0.6929,2.01855,1.02192,3.38883,0.000693305,0.000693305,0.000693305
61,1268.16,1.15058,0.83659,2.34868,0.99503,0.96601,0.9875,0.66482,2.38962,1.01527,3.88615,0.000676802,0.000676802,0.000676802
62,1287.73,1.16434,0.86458,2.36302,0.98748,0.96094,0.98868,0.65304,2.20564,0.95824,3.66473,0.000660299,0.000660299,0.000660299
63,1307.92,1.14222,0.87824,2.35097,0.99247,0.96225,0.99313,0.69582,2.26828,0.83657,3.80127,0.000643795,0.000643795,0.000643795
64,1327.42,1.13327,0.84493,2.32046,0.94577,0.89951,0.94774,0.68574,2.13328,1.02126,3.43287,0.000627292,0.000627292,0.000627292
65,1346.95,1.15579,0.83844,2.34716,0.98624,0.9648,0.9875,0.68883,2.14055,0.76378,3.55653,0.000610789,0.000610789,0.000610789
66,1366.29,1.12681,0.84689,2.32049,0.96746,0.9652,0.98643,0.69925,2.06628,0.81873,3.58124,0.000594286,0.000594286,0.000594286
67,1385.7,1.11515,0.81323,2.31756,0.99389,0.87517,0.96149,0.67818,2.03236,1.07971,3.49593,0.000577782,0.000577782,0.000577782
68,1405.09,1.10537,0.8196,2.31991,0.96836,0.93094,0.98113,0.71032,1.9989,0.85306,3.42413,0.000561279,0.000561279,0.000561279
69,1424.56,1.06375,0.76921,2.30234,0.95737,0.9666,0.99094,0.73066,2.01104,0.85431,3.41404,0.000544776,0.000544776,0.000544776
70,1443.98,1.1115,0.83011,2.33322,0.9995,0.96448,0.99313,0.70512,2.0751,0.80434,3.38463,0.000528272,0.000528272,0.000528272
71,1463.55,1.07556,0.79675,2.28516,0.97409,0.96479,0.97459,0.70188,2.23874,0.91693,3.59442,0.000511769,0.000511769,0.000511769
72,1483.15,1.07066,0.77376,2.28925,0.99396,0.99516,0.995,0.7019,2.24767,0.74554,3.72335,0.000495266,0.000495266,0.000495266
73,1502.4,1.0299,0.77539,2.26622,0.88774,0.96307,0.97758,0.69227,1.92089,1.13035,3.28023,0.000478762,0.000478762,0.000478762
74,1521.61,1.03448,0.7625,2.25758,0.97825,0.90417,0.9779,0.72667,2.06283,1.12903,3.47628,0.000462259,0.000462259,0.000462259
75,1540.79,1.03167,0.76904,2.24286,0.97199,0.96208,0.97189,0.69777,2.03683,1.11221,3.37558,0.000445756,0.000445756,0.000445756
76,1559.97,1.02739,0.75989,2.24715,0.95435,0.90313,0.9841,0.69176,1.97928,0.96635,3.24672,0.000429253,0.000429253,0.000429253
77,1579.3,1.01922,0.73166,2.2557,0.9372,0.89865,0.94056,0.69548,2.07442,1.17288,3.2882,0.000412749,0.000412749,0.000412749
78,1598.6,1.0276,0.73799,2.24995,0.97064,0.9007,0.96715,0.70179,2.05658,1.05465,3.46944,0.000396246,0.000396246,0.000396246
79,1617.72,1.0009,0.73639,2.23096,0.89472,0.90417,0.96795,0.70259,1.91759,1.0636,3.28281,0.000379743,0.000379743,0.000379743
80,1636.99,0.9898,0.73203,2.2427,0.98515,0.96667,0.98868,0.73459,1.88252,0.7796,3.3785,0.000363239,0.000363239,0.000363239
81,1656.33,0.99567,0.73298,2.24506,1,0.99002,0.995,0.68954,2.04682,0.82326,3.52341,0.000346736,0.000346736,0.000346736
82,1675.51,1.01317,0.72159,2.24907,0.97243,0.96139,0.99313,0.7433,1.98205,0.92632,3.46107,0.000330233,0.000330233,0.000330233
83,1694.69,0.97581,0.71004,2.21834,0.96791,0.96667,0.98868,0.69334,2.18649,0.99256,3.65801,0.000313729,0.000313729,0.000313729
84,1713.82,0.97997,0.71736,2.20758,0.98991,0.90417,0.97879,0.71841,1.93462,1.05388,3.37461,0.000297226,0.000297226,0.000297226
85,1733.11,0.97805,0.69484,2.22109,0.99409,0.91504,0.98,0.66637,1.94811,1.07926,3.38828,0.000280723,0.000280723,0.000280723
86,1752.29,0.94698,0.66958,2.20672,0.98138,0.96667,0.9875,0.73803,1.93022,0.94924,3.36865,0.00026422,0.00026422,0.00026422
87,1771.71,0.95317,0.68025,2.20452,0.97635,0.95734,0.97211,0.70554,2.07674,1.0532,3.55592,0.000247716,0.000247716,0.000247716
88,1790.89,0.92459,0.65359,2.19316,0.96895,0.95412,0.98375,0.70655,2.0784,1.04336,3.54861,0.000231213,0.000231213,0.000231213
89,1810.16,0.9326,0.67466,2.20387,0.98042,0.96152,0.9875,0.71568,1.96279,0.95668,3.43964,0.00021471,0.00021471,0.00021471
90,1829.62,0.88771,0.64955,2.17821,0.9971,0.96322,0.98545,0.71632,2.05117,0.86244,3.50613,0.000198206,0.000198206,0.000198206
91,1885.06,0.73728,0.50175,2.24551,0.96139,0.95027,0.98223,0.66973,2.22881,0.99234,3.74796,0.000181703,0.000181703,0.000181703
92,1903.37,0.69147,0.37854,2.15177,0.93839,0.97067,0.99147,0.68857,2.06257,0.94968,3.58119,0.0001652,0.0001652,0.0001652
93,1921.9,0.66666,0.36841,2.15354,0.96973,0.96178,0.9875,0.70903,2.05472,0.96503,3.56423,0.000148696,0.000148696,0.000148696
94,1940.44,0.65202,0.34803,2.11276,0.96829,0.95354,0.97502,0.7125,1.98656,1.14883,3.46991,0.000132193,0.000132193,0.000132193
95,1959.18,0.63736,0.34603,2.12074,0.95972,0.9616,0.97317,0.71253,2.06541,1.0191,3.57006,0.00011569,0.00011569,0.00011569
96,1978.02,0.62508,0.33532,2.11546,1,0.92597,0.97382,0.68158,2.02462,1.07287,3.49058,9.91865e-05,9.91865e-05,9.91865e-05
97,1996.73,0.62295,0.32591,2.08399,0.91681,0.96121,0.96792,0.73094,2.00591,1.0397,3.47398,8.26832e-05,8.26832e-05,8.26832e-05
98,2015.47,0.61166,0.32956,2.08354,0.96614,0.95779,0.97027,0.71354,1.93877,1.14544,3.43746,6.61799e-05,6.61799e-05,6.61799e-05
99,2034.2,0.60484,0.322,2.08125,0.95676,0.95348,0.97185,0.70895,1.96096,1.10084,3.4254,4.96766e-05,4.96766e-05,4.96766e-05
100,2053.03,0.61721,0.32008,2.05386,1,0.96107,0.97287,0.70562,1.92719,1.13305,3.43657,3.31733e-05,3.31733e-05,3.31733e-05
