epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4976,1.82301,6.79483,3.0379,0.00368,0.775,0.17787,0.06095,3.99892,8.83627,5.50582,0.000547949,0.000547949,0.000547949
2,41.9343,1.9674,4.87515,3.06898,0.37924,0.2875,0.34545,0.12899,4.26505,6.74715,6.24995,0.00109269,0.00109269,0.00109269
3,60.0631,2.01613,3.97145,3.10335,0.1985,0.23333,0.17748,0.06043,4.56763,7.10301,6.56559,0.00162643,0.00162643,0.00162643
4,78.245,2.06011,3.23519,3.11108,0.24569,0.45833,0.29468,0.07558,4.74631,6.39155,7.11657,0.00161749,0.00161749,0.00161749
5,98.2398,1.97873,2.78372,3.04954,0.63238,0.51667,0.56819,0.18419,4.82658,4.75375,6.83894,0.00160099,0.00160099,0.00160099
6,117.755,2.00776,2.42345,3.03843,0.35398,0.43806,0.40047,0.15888,3.90234,4.34223,5.53788,0.00158448,0.00158448,0.00158448
7,137.487,1.90217,2.21141,2.96811,0.66109,0.67083,0.6309,0.3125,3.34698,3.26012,5.22927,0.00156798,0.00156798,0.00156798
8,156.74,1.94836,2.23432,2.99156,0.79382,0.61203,0.64531,0.24887,3.9831,2.81498,5.53963,0.00155148,0.00155148,0.00155148
9,176.056,1.92972,2.11275,2.97206,0.78947,0.70417,0.73853,0.44746,2.91447,2.36647,4.87409,0.00153497,0.00153497,0.00153497
10,195.373,1.86457,1.91032,2.91328,0.79045,0.82011,0.91467,0.49942,2.75082,1.48456,4.41722,0.00151847,0.00151847,0.00151847
11,214.779,1.8098,1.80911,2.86631,0.78281,0.82951,0.88527,0.40996,2.94947,2.34067,4.52339,0.00150197,0.00150197,0.00150197
12,234.514,1.79978,1.74453,2.85893,0.74971,0.88965,0.87877,0.41134,3.10763,2.60738,4.53687,0.00148546,0.00148546,0.00148546
13,254.073,1.75317,1.7626,2.82415,0.82906,0.775,0.88339,0.47726,3.00519,1.95537,4.56141,0.00146896,0.00146896,0.00146896
14,273.663,1.76836,1.72379,2.82708,0.80719,0.68863,0.8222,0.40459,2.91907,2.20746,4.72541,0.00145246,0.00145246,0.00145246
15,293.66,1.64836,1.59945,2.75603,0.72071,0.77083,0.81843,0.44669,3.12926,2.12127,4.54628,0.00143595,0.00143595,0.00143595
16,313.503,1.67675,1.62392,2.75888,0.86497,0.77471,0.83651,0.51382,2.79126,1.91194,4.49355,0.00141945,0.00141945,0.00141945
17,333.352,1.66159,1.56647,2.74284,0.87449,0.80626,0.89355,0.55467,2.60867,1.69521,4.20224,0.00140295,0.00140295,0.00140295
18,353.575,1.66411,1.50689,2.74913,0.9343,0.65036,0.90501,0.46991,2.9902,1.68823,4.57401,0.00138644,0.00138644,0.00138644
19,375.03,1.59498,1.43447,2.72033,0.77068,0.89431,0.84514,0.48417,2.52176,2.00695,4.22646,0.00136994,0.00136994,0.00136994
20,397.363,1.63045,1.48382,2.71009,1,0.73339,0.89303,0.50332,2.80698,1.72278,4.22905,0.00135344,0.00135344,0.00135344
21,418.659,1.57827,1.42744,2.69355,0.70591,0.775,0.77684,0.44872,2.85452,2.08,4.17857,0.00133693,0.00133693,0.00133693
22,440.059,1.57902,1.36744,2.70178,0.84732,0.89358,0.91838,0.53745,2.56739,1.47419,4.27261,0.00132043,0.00132043,0.00132043
23,461.456,1.55209,1.419,2.65657,0.92681,0.82556,0.93108,0.61435,2.38385,1.22422,3.76586,0.00130393,0.00130393,0.00130393
24,483.252,1.51564,1.35654,2.63373,0.81237,0.90843,0.93341,0.55404,2.47361,1.48167,4.18137,0.00128742,0.00128742,0.00128742
25,506.684,1.53244,1.33911,2.65013,0.93354,0.74167,0.89704,0.57823,2.73384,1.44982,4.26147,0.00127092,0.00127092,0.00127092
26,530.248,1.52551,1.28185,2.64845,0.89564,0.83043,0.93227,0.55607,2.4853,1.52342,3.91919,0.00125442,0.00125442,0.00125442
27,554.179,1.50078,1.23652,2.60534,0.92619,0.73061,0.90234,0.5881,2.36853,1.40245,3.96346,0.00123791,0.00123791,0.00123791
28,577.969,1.50461,1.26809,2.625,0.94283,0.94765,0.98202,0.55929,2.82025,1.32767,4.245,0.00122141,0.00122141,0.00122141
